👤 1. ผู้ต้องสงสัย (Suspects - Case 51-55),,
ชื่อผู้ต้องสงสัย,ไอคอนแนะนำ (FA Pro),เหตุผล/เอกลักษณ์
นักโหราศาสตร์ อะซูร์ (Astrologer Azure),fa-solid fa-moon-stars,ผู้ทำนายดวงชะตาจากดวงดาว
เอ็มเอ็กซ์ แทนเจอรีน (Mx. Tangerine),fa-solid fa-palette,ศิลปินและชาวคอมมูนผู้มีความหลากหลาย
นักภาษาศาสตร์ ฟลินต์ (Philologist Flint),fa-solid fa-book-sparkles,ผู้เชี่ยวชาญด้านประวัติศาสตร์และที่มาของคำ
ผู้พิพากษา ไพน์ (Judge Pine),fa-solid fa-gavel,ผู้คุมความยุติธรรมในศาล
รองประธาน มอฟ (Vice President Mauve),fa-solid fa-user-tie-hair,ผู้บริหารหญิงจากโลก Metaverse
พลเรือเอก เนวี่ (Admiral Navy),fa-solid fa-ship,นายทหารเรือผู้สืบทอดตระกูลกองทัพ
นายกเทศมนตรี ฮันนี่ (Mayor Honey),fa-solid fa-building-columns,นักการเมืองท้องถิ่นจอมวางแผน
,,
🔪 2. อาวุธ (Weapons - Case 51-55),,
ชื่ออาวุธ,ไอคอนแนะนำ (FA Pro),ลักษณะเด่น
เครื่องตรวจจับผี (Ghost Detector),fa-solid fa-radar,อุปกรณ์ไฮเทคสำหรับเรื่องลี้ลับ
หม้อต้มยา (Cauldron),fa-solid fa-cauldron,หม้อใบใหญ่สำหรับปรุงยาหรือทำอาหาร
แขนโครงกระดูก (Skeleton Arm),fa-solid fa-skeleton,ชิ้นส่วนกระดูกมนุษย์สุดสยอง
เครื่องจักรพลังงานกึ่งนิรันดร์,fa-solid fa-gears,สิ่งประดิษฐ์ซับซ้อนที่ทำงานได้ไม่นาน
นาฬิกาพกสะกดจิต (Hypnotic Watch),fa-solid fa-stopwatch,นาฬิกาพกที่ใช้ควบคุมจิตใจ
ท่อนไม้ (Log),fa-solid fa-tree,ไม้ท่อนใหญ่ที่ใช้ฟาดได้รุนแรง
กับดักหมี (Bear Trap),fa-solid fa-trap,อุปกรณ์ดักสัตว์ที่มีเขี้ยวเหล็กแหลมคม
พาย (Oar),fa-solid fa-oar,ไม้พายเรือที่ใช้เป็นอาวุธฉุกเฉิน
แมงมุมพิษ (Poisonous Spider),fa-solid fa-spider,สิ่งมีชีวิตตัวจิ๋วที่แฝงไปด้วยพิษร้าย
ธนูและลูกธนู (Bow and Arrow),fa-solid fa-bow-arrow,อาวุธสำหรับล่าสัตว์หรือสันทนาการ
ขวานปีนเขา (Climbing Axe),fa-solid fa-pickaxe,อุปกรณ์สำหรับนักปีนเขาจอมแบล็กเมล์
,,
📍 3. สถานที่ (Locations - Case 51-55),,
ชื่อสถานที่,ไอคอนแนะนำ (FA Pro),บรรยากาศ
ประตูทางเข้า (Entrance Gate),fa-solid fa-gate,จุดเริ่มต้นของความลับ
สุสานหินมหึมา (Huge Mausoleum),fa-solid fa-monument,ที่เก็บศพตระกูลดังรูปพีระมิด
กระท่อมประหลาด (Weird Shack),fa-solid fa-hut,ที่พักเก่าทรุดโทรมที่ซ่อนเรื่องชู้สาว
สนามมินิกอล์ฟ (Miniature Golf),fa-solid fa-flag-pennant,สนามหญ้าเทียมที่มีกังหันลม
หอคอยยักษ์ (Great Tower),fa-solid fa-chess-rook,สิ่งก่อสร้างสูงตระหง่าน
คฤหาสน์หรู (Grand Chateau),fa-solid fa-castle,บ้านหลังใหญ่ที่มีทางเดินซับซ้อน
ต้นไม้หงิกงอ (Gnarled Tree),fa-solid fa-tree-city,ต้นไม้ทรงประหลาดในป่ามรณะ
เนินเขาเตี้ย (Little Hill),fa-solid fa-mound,จุดที่ใช้หนีหมี (แต่ไม่รอดจากคน)
ถ้ำเคลื่อนที่ (Moving Cave),fa-solid fa-mountain-raking,ถ้ำลึกลับที่พิกัดเปลี่ยนไปมา
ท่าเทียบเรือ (Docks),fa-solid fa-pier,จุดรับส่งสินค้าและลักลอบทำแผนที่
สวนป่าผีสิง (Haunted Grove),fa-solid fa-trees,ป่าทึบที่บรรยากาศชวนขนลุก
สปาบ่อน้ำร้อน (Hot Springs Spa),fa-solid fa-hot-tub-person,สถานที่ผ่อนคลายที่กลายเป็นที่เกิดเหตุ
ทะเลสาบปาร์ตี้ (Party Lake),fa-solid fa-water,แหล่งน้ำที่เป็นจุดรวมตัวของนักท่องเที่ยว
,,
💡 4. แรงจูงใจ (Motives - Case 51-55),,
แรงจูงใจ,ไอคอนแนะนำ (FA Pro),ความหมาย
ดูว่าทำได้ไหม (See if they could),fa-solid fa-vial-circle-check,การลองมือเพื่อพิสูจน์ขีดจำกัด
ปิดบังเรื่องชู้สาว (Hide an affair),fa-solid fa-user-slash,ฆ่าเพื่อรักษาหน้าตาและความลับส่วนตัว
รับมรดก (Inherit a fortune),fa-solid fa-money-bill-trend-up,การลงมือเพื่อเงินก้อนโตจากพินัยกรรม
สู้เพื่อรัก (Fight for love),fa-solid fa-heart-pulse,การฆ่าที่อ้างว่าทำไปเพราะความรัก
หนีการแบล็กเมล์ (Escape blackmail),fa-solid fa-lock-open,ฆ่าเพื่อตัดวงจรการข่มขู่
ชิงแผนที่ขุมทรัพย์ (Steal treasure map),fa-solid fa-map-location-dot,ความโลภในสมบัติที่มองไม่เห็น
